project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
YANSHdiv/Automated-Ac-For-Smart-Home,https://github.com/YANSHdiv/Automated-Ac-For-Smart-Home,3,1,1,5,"The README provides solid local‑development setup instructions – it tells the reader how to install a required dependency, explore the repo, run the DFINITY replica, deploy canisters, generate candid interfaces, and start the frontend server. It also links to external documentation for broader context. However, the file lacks a clear, concise project description that explains what the `smart_ac` project does or its purpose. There are no integration or usage examples beyond the raw commands, and there are no contribution guidelines (e.g., how to submit issues or pull requests, coding standards, testing procedures). The opening sentence appears truncated, and there are minor formatting/grammar issues (e.g., missing space in “set`DFX_NETWORK`”). Overall, the documentation covers the essential setup steps but omits several key elements expected for a complete README, placing it at a “fair” level.","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: Added a new Motoko‑based backend for the Automated AC project, including `src/smart_ac_backend/main.mo`, `dfx.json`, `memory.json`, and a fresh `smart_ac_backend_project/README.md`, while deleting the previous README. The top‑level `README.md` was completely rewritten to detail the GUI app’s features, decision logic, and usage. These changes introduce the core backend functionality and substantially improve project documentation.",dfx.json file found - indicates ICP/Dfinity project structure
Mercatura-Developers-Team/Mercx,https://github.com/Mercatura-Developers-Team/Mercx.git,3,2,1,6,"The README provides a solid general project description, problem statement, and overview of key features, which gives readers a clear sense of what MercX is and its intended impact. However, it lacks essential practical sections: there are no setup instructions for local development, no integration guide for developers who might want to use the platform’s canisters or APIs, and no contribution guidelines for external collaborators. While the formatting and grammar are generally good, the absence of these critical elements limits the documentation’s usefulness for developers and contributors, keeping it at a “fair” level rather than “good” or “excellent.”","2 - commits for two weeks. Weekly development summary: Week of 2025-09-15: Minor updates and bug fixes were applied across several components, refining existing functionality and addressing reported issues. These improvements enhance system stability and performance, ensuring a smoother user experience. No new features were introduced this week.; Week of 2025-09-22: This week the frontend received a major UI refresh: the Home page now includes an animated background (HomeBg.jsx), a new feature‑cards section, and streamlined token handling, while the Navbar got a higher z‑index and a new ProtocolStats component was added to the Pools view. The pool analytics component was reworked to record snapshots per‑pool instead of globally, and styling for the features grid was updated. Backend changes aligned canister IDs for the MercX backend and KYC canister, ensuring KYC verification and whitelist calls target the correct canisters, and the OGL library was added as a new dependency.",dfx.json file found - indicates ICP/Dfinity project structure
CoFi-Xyntra/copilot-finance,https://github.com/CoFi-Xyntra/copilot-finance,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
Bonded2/Bonded-App,https://github.com/Bonded2/Bonded-App,4,1,1,6,"The README provides a solid overview of the Bonded app, including a concise project description, architecture diagram, feature list, and tech stack. It offers thorough local development setup instructions (prerequisites, cloning, dependency installation, local ICP network, backend deployment, frontend configuration, and how to run both parts). Deployment guidance is included, and there are clear contribution guidelines. The document is well‑structured and formatted, with headings, code blocks, and bullet points that aid readability.","1 - commits for only one week. Weekly development summary: Week of 2025-09-01: This week the frontend received a broad UI polish: back‑button components across many screens were standardized to a larger, responsive, glass‑styled design with added hover effects and media‑query breakpoints. New backend integration was added by extending the API service with a `get_timeline` method and a corresponding `fetchTimeline` helper, and the registration flow was updated to re‑initialize the ICP user service with the authenticated API instance. Additionally, three new files were introduced—a dev‑issue fix script and two utility modules (`aiCdnLoader.js` and `nodePolyfills.js`)—to support development and AI asset loading.",dfx.json file found - indicates ICP/Dfinity project structure
VishalVermaa01/verdictXR,https://github.com/VishalVermaa01/verdictXR,0,1,1,2,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-15: The team experimented with a major “courtroom experience” overhaul but reverted those changes, leaving the core code unchanged. In its place, a new improvised courtroom scene was added, alongside new privacy and terms‑of‑use pages, and the frontend theme and underlying logic were upgraded for smoother UI/UX. Minor updates and bug fixes were also applied, improving overall stability.; Week of 2025-09-22: This week the team added persistent session‑storage for trial state, overhauled the Dashboard with animated backgrounds, hover‑glow effects and a navigation change, and refactored the VR courtroom by extracting character, geometry, and control logic into new Three.js modules (Characters.ts, CourtroomGeometry.ts, CourtroomControls.ts) with updated imports. A parallel “newCourtfrontend” project was introduced, bringing its own HTML/CSS/JS assets and new dependencies (three 0.180.0, @types/three, @tweenjs/tween.js, rapier3d‑compat). These changes improve UI/UX, add state persistence, and modularize the VR scene for easier maintenance and future feature expansion.",dfx.json file found - indicates ICP/Dfinity project structure
Unknowners/notonlybitcointips,https://github.com/Unknowners/notonlybitcointips,3,1,1,5,"The README provides a useful overview of the project structure, basic deployment commands, and high‑level descriptions of the backend and frontend components. It also includes minimal contribution steps, licensing, and support links, which are all positive aspects.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: Added secure session storage with automatic loading, timeout handling, and proper logout, along with Tailwind CSS integration. Implemented a local ICP Ledger canister for development testing, introduced an AuthContext, and overhauled the withdrawal flow to use direct transferICP calls, fix subaccount generation, add extensive logging, and simplify balance validation. Refactored production deployment by removing the local ledger canister, updating canister IDs, and adjusting the canister configuration to ensure reliable production builds.",dfx.json file found - indicates ICP/Dfinity project structure
DeTrustLabs/escrow-protocol,https://github.com/DeTrustLabs/escrow-protocol,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
sorbadek/micha,https://github.com/sorbadek/micha,0,0,1,1,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,dfx.json file found - indicates ICP/Dfinity project structure
WCHL25/transkripin,https://github.com/WCHL25/transkripin,3,2,1,6,"The README provides a clear project overview, lists features, outlines the tech stack, and includes basic local‑development setup steps (cloning the repo, running the Rust transcription service, starting the ICP replica, and deploying canisters). It also documents required external tools (FFmpeg, Whisper model) with installation commands.","2 - commits for two weeks. Weekly development summary: Week of 2025-09-08: This week the backend API was expanded with new queries `get_final_result` and `list_user_final_results` to retrieve a user’s final transcription/summarization results. The upload module was refactored: the transcription‑related helper functions were moved into a new `upload::service` package (adding `call_ollama`, `call_transcription` and `fetch_transcription`), and the previous in‑module HTTP‑request logic was removed in favor of this service layer. Minor frontend tweaks (a debug log and a typo fix) and a small environment‑variable change were also applied.; Week of 2025-09-15: This week we enhanced the upload system with in‑memory chunked retrieval and introduced a new file‑artifact type that automatically generates titles and stores bookmark metadata, while adding searchable, filterable artifact pages with bookmarking and segmented transcription support, plus frontend components for lazy‑loading pages, empty‑state messaging, bookmark toggling, and seekable transcription results. New UI components were added for exploring content, managing “My Work,” and viewing saved‑work lists, the unused use‑debounce package was removed, and a backend error was fixed along with a refactor of the save‑final‑result logic for greater reliability. Overall, these changes boost file‑handling performance, enrich artifact navigation and transcription capabilities, and improve the overall user experience and system stability.; Week of 2025-09-22: This week we added chunked file‑upload support with stable memory handling and a UI for loading files, introduced a share button, bookmark toggle, recent‑work display, and an accessibility check for private artifacts. Existing UI components—including audio controls, visibility toggles, title updating, responsive layout tweaks, and a broken debounce mechanism—were refined and several frontend bugs (import path, signature error, data‑type handling) were fixed. Together these enhancements improve large‑file reliability, boost user interaction and accessibility, and increase overall frontend stability and responsiveness.",dfx.json file found - indicates ICP/Dfinity project structure
AmaanSayyad/apt-casino-motoko,https://github.com/AmaanSayyad/apt-casino-motoko,3,1,1,5,"The README provides a clear project overview, feature list, architecture diagram, and detailed game mechanics, and it is well‑structured and grammatically sound. However, it lacks essential practical information: there are no setup or installation instructions for running the project locally (e.g., cloning the repo, installing dependencies, building the Motoko contracts, or starting the Next.js dev server), no guide on how to configure the environment beyond a short `.env` snippet, no integration steps for developers who might want to use the contracts or the UI in another project, and no contribution guidelines (code style, pull‑request process, testing, etc.). Because these key elements are missing, the documentation is only fair despite its good descriptive content.","1 - commits for only one week. Weekly development summary: Week of 2025-09-01: Added comprehensive documentation, contribution guidelines, a code of conduct, an MIT license, and a detailed multi‑blockchain deployment guide for Aptos and ICP networks. The deployment tooling was upgraded with authentication, cycles‑balance checks, safety prompts, DFX validation, automatic replica startup, improved error handling, and streamlined package metadata. The project’s architecture was reorganized—frontend assets moved to a root public folder, configuration files consolidated, and obsolete scripts removed—enhancing maintainability and setting the stage for a modern Next.js implementation.",dfx.json file found - indicates ICP/Dfinity project structure
