project_name,github_link,readme_documentation_score,commit_activity_score,dfx_json_score,total_score,readme_documentation_comments,commit_activity_comments,dfx_json_comments
Buildathonzx/whisperrnote,https://github.com/Buildathonzx/whisperrnote,3,3,0,6,"The README provides a strong, engaging project description and outlines the AI and blockchain features clearly. It also includes integration details with links to the relevant canisters and repositories. However, it lacks essential practical information such as setup or installation instructions for local development, a step‑by‑step guide on how to run the project, and any contribution guidelines (e.g., how to submit issues or pull requests). The overall structure and formatting are good, but the missing setup and contribution sections prevent it from being fully usable for developers new to the project. Hence it falls into the “basic documentation present but missing some important elements” category.","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: Implemented user‑scoped public notes, a TypeScript‑based passkey registration API, a client‑side fuzzy search powered by Fuse.js with a new global NotesContext, and a centralized ContextMenuProvider that standardises note‑card menus; additional updates include a renamed TagManager onChange prop, stricter TypeScript typings, and corrected permission re‑exports for reliable note sharing. Performance and build stability were boosted by upgrading to Next 15.4.7, disabling ESLint during compilation, memoising search hooks, AI/prompt handlers, and data‑fetching callbacks, and fixing middleware redirects and UI import issues. Together these changes tighten security, improve responsiveness, and raise overall code quality and developer experience.; Week of 2025-09-15: Added a suite of new backend capabilities—including collaborators and hashed API‑key modules, subscription plan enforcement, full revision and diff tracking for notes, a versioned AI‑generation endpoint with provider‑agnostic routing, and a complete account‑deletion and passkey‑auth flow—alongside extensive schema updates, tag‑management deduplication/hydration, and a robust cursor‑based pagination system with configurable page sizes. Existing features were refined with sharing‑UI enhancements, optimistic updates, AI‑button health checks, global keyboard shortcuts, and idempotent guards that prevent duplicate entries, plus performance‑focused changes such as reduced userId size and dual‑write synchronization. Together these changes improve data integrity, security, auditability, and overall user experience while laying the groundwork for future AI‑driven note functionality.; Week of 2025-09-22: Added documentation of the newly created encrypted_notes and internet-identity canisters to the README and introduced corresponding environment variables in .sample.env for their local URLs, enabling the project to reference these blockchain components. This updates the setup to support the new canisters without altering existing functionality.",No dfx.json file found - may not be using standard ICP/Dfinity development tools
YieldexAI/yieldex-ic-wallet-manager,https://github.com/YieldexAI/yieldex-ic-wallet-manager,3,1,1,5,"The README provides a strong project description, clear feature list, and an appealing visual layout, which helps readers understand what Yieldex IC Wallet Manager does and why it’s valuable. However, it lacks essential practical documentation: there are no step‑by‑step setup instructions for local development (e.g., prerequisites, building the canister, running tests), no integration guide for developers who want to use the wallet in their own projects, and no contribution guidelines (code of conduct, pull‑request process, issue filing). While the “Quick Start Guide” link is mentioned, the actual instructions are not included in the provided content, leaving a gap for newcomers. Overall, the README is informative but incomplete for developers looking to get started or contribute.","1 - commits for only one week. Weekly development summary: Week of 2025-09-15: This week the front‑end was overhauled: React Router was added with new Overview, Strategy and Dashboard pages plus a navigation layout, a Playwright development pipeline was introduced and several dependencies were updated. The custom strategy builder and strategy cards were simplified by removing allocation logic, mock strategy data was adjusted accordingly, and the strategy selector now includes wallet‑connection prompts, tab handling and a cleaner UI. Additionally, modal rendering was made portal‑based, wallet‑integration handling was improved, and the .gitignore was expanded to exclude Claude and Playwright files.; Week of 2025-09-22: This week the frontend was expanded with a new Compound V3 lending protocol and an “OG Duo” strategy that combines AAVE V3 and Compound V3 for diversified low‑risk yields. Transaction handling was upgraded to include AI‑driven rebalance details, new activity types, default activity generation, and related store methods, while the dashboard UI (ActivePositions, ActivityTimeline, PositionManagementModal) received risk‑based icons, tabs, quick‑action buttons, and improved toast notifications. Supporting files such as a Badge component, blockchain utilities, and extended type definitions were also added.",dfx.json file found - indicates ICP/Dfinity project structure
alfa-codes/alfa-apy-icp-canisters,https://github.com/alfa-codes/alfa-apy-icp-canisters,0,1,1,2,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-01: This week we expanded the API with a new `get_pools_history` endpoint in the `pool_stats` module, delivering historical pool data, and added branding assets (project logo) plus a LICENSE file for clearer legal standing. We also refined deployment and reporting by introducing configurable canister controller settings, updating the production URL configuration, and fixing chart‑snapshot generation bugs. Together, these changes improve data accessibility, streamline production deployments, and enhance the reliability of visual reports.; Week of 2025-09-08: Implemented ICRC‑21 support in the vault canister by adding the necessary ledger type imports, registering the ICRC‑21 standard in the supported standards list, and introducing a new query (`icrc21_canister_call_consent_message`) to handle consent‑message requests. This enhances the vault’s identity‑authentication capabilities and aligns it with the latest ICRC‑21 specifications. No new files were added; only `src/vault/src/lib.rs` was modified.",dfx.json file found - indicates ICP/Dfinity project structure
https://github.com/Soulboard,https://github.com/Soulboard,0,0,0,0,Error during evaluation: list index out of range,Error during evaluation: list index out of range,Error during evaluation: list index out of range
ReyJrFerrer/SRV-WCHL,https://github.com/ReyJrFerrer/SRV-WCHL,2,3,1,6,"The README provides a fairly detailed **project description** and lists many features and high‑level architectural ideas, which gives readers a good sense of what the service marketplace aims to do. However, it lacks the essential practical documentation needed for developers and contributors:","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: Implemented a manual location input mode with refined labels and a dynamic barangay dropdown that updates automatically when users select a province and city, alongside a refactor of service‑location inputs. Added a page‑reload fix and performed configuration tweaks and package‑json workspace cleanup to stabilize the app and tidy the project setup. These changes enhance the location‑selection experience, improve overall stability, and streamline the codebase.; Week of 2025-09-08: This week we introduced core financial functionality by adding a new wallet UI and its canister service, integrating commission handling into the booking flow, and replacing the previous remittance logic with a streamlined payment prompt. We also added Firebase configuration, Docker container support, and deployment pipelines while cleaning up unused code and comments across multiple components. Together, these updates deliver end‑to‑end payment and commission processing, improve development and deployment consistency, and enhance overall code quality.; Week of 2025-09-15: We introduced a new notification canister, added multi‑package support, and overhauled the payment system with holding/release logic, dynamic commissions, higher limits (up to 2.5 units), automatic country‑code prefixing for payouts, and a fully functional wallet top‑up flow with enhanced transaction logging. The UI received extensive refinements—including a revamped wallet view with commission notices, fixes to notifications, cancel‑confirmation buttons, OTP verification, and validation for unique package names—while code quality was upheld with Prettier formatting and Linux‑compatible package‑json adjustments. These changes improve financial reliability, streamline user interactions, and boost development testing via a Firestore emulator and mock GCash integration.; Week of 2025-09-22: This week we delivered a series of minor updates and bug fixes across the codebase, addressing stability and performance issues. The changes refined existing functionality and improved overall reliability. No new features were introduced.",dfx.json file found - indicates ICP/Dfinity project structure
pixeliy/pixeliy,https://github.com/pixeliy/pixeliy,0,1,1,2,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-08: Updated the authentication flow to use the new Internet Identity provider (`https://id.ai`) instead of the previous `https://identity.ic0.app` by modifying the provider URLs in both `AuthContext.tsx` and `useAuth.ts`. This change improves the app’s login integration with the updated identity service.; Week of 2025-09-15: Implemented ICRC‑1 token support by adding new ledger and index canisters (pixeliy_ledger, pixeliy_index), updating `dfx.json` and `canister_ids.json` to register them, and including their Candid definitions and Wasm binaries under `src/token`. Added a token icon (`pixl.png`) to the frontend assets for visual representation. These additions introduce full token functionality and related resources to the existing project.",dfx.json file found - indicates ICP/Dfinity project structure
k0t11k/TESTFINALRVRA,https://github.com/k0t11k/TESTFINALRVRA,2,1,1,4,"The README provides a fragmented overview of the project, showing some useful pieces such as a one‑line dev command (`cd frontend && npm run dev`), a deployment command, a brief security model, and a compact Candid API listing. However, it falls short in several critical areas:","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: This week we established the project baseline with the initial commit and introduced a new ICP Ninja export capability. Documentation was updated—including the README and BUILD files—to reflect these changes and improve developer guidance. Together, these updates lay a solid foundation while adding export functionality and enhancing project clarity.",dfx.json file found - indicates ICP/Dfinity project structure
Wow11One/happy-wheels,https://github.com/Wow11One/happy-wheels,2,1,1,4,"The provided README excerpt contains only a high‑level description of the project's goals and benefits (e.g., marketplace transparency, scalability, data‑driven insights). It lacks essential documentation elements:","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: This week the project added AI‑based authentication migration, updating the DFINITY auth client version, switching the identity provider URL to https://id.ai, and introducing a new TransferApprove React component. The Google Generative AI library was added to the dependencies (reflected in package‑lock) and a page‑header refactor was applied across several UI files. Overall, the changes enhance authentication flow with AI integration and lay groundwork for AI‑generated content while performing minor UI clean‑ups.",dfx.json file found - indicates ICP/Dfinity project structure
DynastyChesses/game,https://github.com/DynastyChesses/game,0,1,1,2,No documentation assessment provided.,"1 - commits for only one week. Weekly development summary: Week of 2025-09-22: A comprehensive Unity rendering core was added, introducing a full‑featured Runtime folder with camera systems, render‑graph infrastructure, texture/RTHandle management, volume handling, utilities, and an extensive debugging UI suite. These new modules lay the groundwork for a custom render pipeline and provide extensive tools for profiling, debugging, and scene rendering. No existing Behaviour scripts were altered, so the change represents a major expansion of the project’s core graphics capabilities.",dfx.json file found - indicates ICP/Dfinity project structure
LotusWallet/LOTS,https://github.com/LotusWallet/LOTS,4,1,1,6,"The README provides a solid project overview, clear feature list, and a well‑structured architecture diagram. It includes comprehensive setup instructions for both production deployment and local development, along with usage examples and an API reference table, which together serve as an effective integration guide for developers. The formatting is clean and the language is generally clear.","1 - commits for only one week. Weekly development summary: Week of 2025-09-22: This week a full‑stack “Password Generator” feature was introduced, adding `PasswordGenerator` and `PasswordGeneratorModal` components, related UI hooks, and a modal button throughout the dashboard and entry dialogs. Backend actor types were expanded to include `url`, `email`, and `date` fields, and the frontend was updated to support these new field types, English‑only UI text, richer category icons, and a revamped login button using the shared UI library. Additional polish includes new i18n scaffolding, Tailwind configuration, and extensive UI styling/translation updates, turning the app from a bilingual prototype into a more polished, English‑focused password manager.",dfx.json file found - indicates ICP/Dfinity project structure
Satsurance/canisters,https://github.com/Satsurance/canisters/tree/feature/staking-layout,3,3,1,7,"The README provides a solid project description and clear setup instructions for local development, including tool installation, repository cloning, required binaries, building, and testing. The formatting is readable and the steps are well‑ordered. However, it lacks an integration guide (e.g., how to deploy the canister, interact with it, or use its APIs) and does not include any contribution guidelines such as branching strategy, code style, or pull‑request process. Adding those sections would move the documentation toward a higher rating. Overall the documentation is functional but incomplete for contributors and users beyond basic local testing.","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: This week we strengthened the reward‑distribution system by updating the `MINIMUM_DEPOSIT_AMOUNT` constant and refactoring the reward‑related code, while expanding the test suite with new edge‑case scenarios that significantly boost coverage and confidence in the reward logic. Minor updates and bug fixes were also applied across the codebase. Overall, the changes improve reliability of reward calculations and enhance the stability of the project.; Week of 2025-09-08: Integrated the sat‑ui component into the main repository and streamlined deposit, reward, and withdrawal flows by fixing calculation bugs and consolidating deposit and reward transfers into a single transaction, reducing fees and improving UI availability. The reward‑rate‑per‑share logic was corrected and extensive tests were added, including scenarios for large and small deposits, while the test suite was refactored with a new TestClient helper and shared utilities moved into the Client class. These changes ensure accurate reward distribution, lower transaction costs, and greater test reliability and maintainability.; Week of 2025-09-15: This week we integrated a new ICP plugin, updating core files (index.js, web3store.js) and simplifying the navigation bar by removing “Learn More” and “Insurance” tabs, while rolling back staking and faucet functionality to prioritize the ICP integration. We also introduced the Sat‑UI component, renamed the frontend and backend canisters for clearer organization, and removed an obsolete deployment file, streamlining deployment and improving UI capabilities. Together, these changes enhance ICP support, the user interface, and overall project hygiene.",dfx.json file found - indicates ICP/Dfinity project structure
sardariuss/dsonance,https://github.com/sardariuss/dsonance,1,3,1,5,"The provided “README” consists of a single, informal problem statement with no structure, headings, or context. It lacks any of the essential elements expected in quality documentation:","3 - commits for every other week. Weekly development summary: Week of 2025-09-01: The documentation was updated: a new figure (image (8).png) was added and the tokenomics page was revised to replace the old image reference and adjust the DSN token supply and allocation percentages. These changes reflect a shift from a 1 billion‑token model to a 10 million‑token model with updated distribution figures. No functional code was changed.; Week of 2025-09-08: The lending system received extensive refinements, including corrected fee calculations, updated borrow‑interest formulas, and added verifications for lending fees in tests. Several components were streamlined—shares and observables were removed from foresight and lock scheduling, TVL updates moved to the VoteController, and participation‑mining sync transfers were simplified to a manual “mine_participation” call. Overall, the changes improve accuracy of fee/interest handling, reduce unnecessary state, and enhance test coverage for the lending pool.; Week of 2025-09-15: Implemented NFID authentication and a new wallet drawer, integrating them into the app’s actor layer and adding related hooks and callbacks. Updated the Borrow page with a minor redesign and renamed key concepts (ballot → foresight, vote → market). Fixed vote‑list refresh and hook‑ordering bugs, improving overall stability.; Week of 2025-09-22: Implemented a “mined DSN” feature that shows users their mined tokens in the profile, adds a withdraw‑mined action, and updates the UI to refer to “foresights” instead of “ballots”. Enhanced number formatting across the dashboard and ledger hooks by introducing significant‑digit logic and switching to full‑amount displays. These changes improve the user’s financial overview and interaction with the new mining reward system.",dfx.json file found - indicates ICP/Dfinity project structure
temokoki/IC_Crypto_Miners_Hunt,https://github.com/temokoki/IC_Crypto_Miners_Hunt,0,0,0,0,No documentation assessment provided.,No commits found during hackathon period.. No weekly development activity to summarize.,No dfx.json file found - may not be using standard ICP/Dfinity development tools
